,datetime,Open,Close,High,Low,Volume,AdjClose,serial_number
987,1974-02-20 00:00:00-03:00,14.484375,14.71875,14.71875,14.296875,536000.0,1.2685957,987.0
988,1974-02-21 00:00:00-03:00,14.734375,14.84375,14.875,14.734375,480000.0,1.2793694,988.0
989,1974-02-22 00:00:00-03:00,14.8125,14.78125,14.8125,14.546875,611200.0,1.2739823,989.0
990,1974-02-25 00:00:00-03:00,14.78125,14.734375,14.84375,14.6171875,420800.0,1.2699419,990.0
991,1974-02-26 00:00:00-03:00,14.734375,14.859375,14.859375,14.59375,488000.0,1.2807165,991.0
992,1974-02-27 00:00:00-03:00,14.859375,14.8125,15.0,14.734375,886400.0,1.2766763,992.0
993,1974-02-28 00:00:00-03:00,14.8125,14.8671875,14.875,14.75,419200.0,1.2813897,993.0
994,1974-03-01 00:00:00-03:00,14.8671875,14.75,14.890625,14.71875,478400.0,1.2712892,994.0
995,1974-03-04 00:00:00-03:00,14.75,14.796875,14.796875,14.46875,520000.0,1.2753289,995.0
996,1974-03-05 00:00:00-03:00,14.890625,15.109375,15.125,14.890625,812800.0,1.302264,996.0
997,1974-03-06 00:00:00-03:00,15.109375,15.265625,15.28125,15.015625,574400.0,1.3157299,997.0
998,1974-03-07 00:00:00-03:00,15.265625,14.984375,15.296875,14.890625,443200.0,1.2914901,998.0
999,1974-03-08 00:00:00-03:00,14.984375,15.03125,15.203125,14.84375,556800.0,1.2955296,999.0
1000,1974-03-11 00:00:00-04:00,15.03125,15.40625,15.40625,14.78125,697600.0,1.3278505,1000.0
1001,1974-03-12 00:00:00-04:00,15.40625,15.59375,15.71875,15.40625,1092800.0,1.3440119,1001.0
1002,1974-03-13 00:00:00-04:00,15.59375,15.625,15.875,15.5703125,561600.0,1.346704,1002.0
1003,1974-03-14 00:00:00-04:00,15.625,15.546875,15.71875,15.4375,902400.0,1.3399712,1003.0
1004,1974-03-15 00:00:00-04:00,15.546875,15.578125,15.65625,15.421875,513600.0,1.3426635,1004.0
1005,1974-03-18 00:00:00-04:00,15.578125,15.46875,15.671875,15.4609375,468800.0,1.3332382,1005.0
1006,1974-03-19 00:00:00-04:00,15.46875,15.359375,15.46875,15.328125,320000.0,1.3238102,1006.0
1007,1974-03-20 00:00:00-04:00,15.359375,15.390625,15.421875,15.3203125,360000.0,1.3265035,1007.0
1008,1974-03-21 00:00:00-04:00,15.390625,15.1875,15.484375,15.15625,620800.0,1.3089968,1008.0
1009,1974-03-22 00:00:00-04:00,15.1875,15.21875,15.28125,15.09375,419200.0,1.3116904,1009.0
1010,1974-03-25 00:00:00-04:00,15.21875,15.46875,15.484375,15.0625,472000.0,1.3332382,1010.0
1011,1974-03-26 00:00:00-04:00,15.5,15.625,15.671875,15.5,683200.0,1.346704,1011.0
1012,1974-03-27 00:00:00-04:00,15.5625,15.25,15.5625,15.25,603200.0,1.3143836,1012.0
1013,1974-03-28 00:00:00-04:00,15.15625,14.984375,15.15625,14.9375,656000.0,1.2914901,1013.0
1014,1974-03-29 00:00:00-04:00,14.984375,14.734375,15.015625,14.6875,600000.0,1.2699419,1014.0
1015,1974-04-01 00:00:00-04:00,14.734375,14.359375,14.78125,14.28125,750400.0,1.2376215,1015.0
